City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,ad dilam,23.9915,47.1627,318.38,5,87,2.75,SA,1690037105
283,keflavik,64.0049,-22.5624,286.39,67,75,0.51,IS,1690037106
284,phan rang-thap cham,11.5667,108.9833,299.08,87,100,2.07,VN,1690037106
285,taro,-8.3862,115.28,295.15,89,78,1.42,ID,1690037107
286,saint-denis,48.9167,2.3333,300.24,40,0,6.69,FR,1690037107
287,withernsea,53.7311,0.0335,290.29,90,100,7.28,GB,1690037108
288,wenchang,30.904,118.4887,299.16,92,98,1.75,CN,1690037108
289,selfoss,63.9331,-20.9971,287.62,71,98,3.06,IS,1690037108
290,bhimunipatnam,17.8833,83.4333,298.88,82,100,4.33,IN,1690037108
291,temiskaming shores,47.4938,-79.7153,290.04,41,0,2.49,CA,1690036954
292,sterlibashevo,53.4376,55.2578,293.56,59,84,4.03,RU,1690037109
293,thunder bay,48.4001,-89.3168,292.14,82,20,1.54,CA,1690036912
294,kuopio,62.8924,27.677,288.83,91,100,4.12,FI,1690037109
295,az zubayr,30.3945,47.7011,319.07,5,0,7.2,IQ,1690037109
296,kangding,30.0513,101.9603,288.04,94,33,1.27,CN,1690037110
297,banyoles,42.1167,2.7667,305.65,52,85,5.03,ES,1690037110
298,amungan,15.3652,119.9582,299.63,86,100,0.76,PH,1690037110
299,mesoraca,39.0768,16.7889,310.22,29,2,5.2,IT,1690037110
300,acarau,-2.8856,-40.12,304.18,44,0,6.63,BR,1690037111
301,inari,68.906,27.0288,285.26,64,66,5.13,FI,1690037111
302,ewo,-0.8725,14.8206,307.43,32,88,0.86,CG,1690037111
303,wynyard,-41.0,145.7167,281.65,93,70,2.07,AU,1690037112
304,touros,-5.1989,-35.4608,302.42,59,19,8.75,BR,1690036954
305,ubari,26.5921,12.7805,313.44,9,0,3.1,LY,1690037112
306,zaysan,47.4667,84.8667,298.17,37,10,4.81,KZ,1690037112
307,luanda,-8.8368,13.2343,296.15,78,75,4.63,AO,1690037113
308,namsos,64.4662,11.4957,288.1,77,100,3.09,NO,1690037113
309,kapa'a,22.0752,-159.319,299.33,84,75,6.17,US,1690037113
310,cobija,-11.0267,-68.7692,302.25,70,0,0.0,BO,1690037113
311,laojunmiao,39.8333,97.7333,298.53,14,38,2.39,CN,1690037114
312,miquelon,47.0975,-56.3814,291.15,99,100,7.03,PM,1690037114
313,bontang,0.1333,117.5,298.32,89,55,3.3,ID,1690037114
314,kashgar,39.4547,75.9797,306.71,22,20,2.0,CN,1690037115
315,greymouth,-42.4667,171.2,277.72,90,99,2.47,NZ,1690037115
316,wolsztyn,52.1155,16.1171,296.47,37,92,6.85,PL,1690037115
317,old town,50.087,14.4202,297.75,36,0,5.66,CZ,1690037115
318,den burg,53.0542,4.7972,290.93,79,100,7.72,NL,1690037116
319,al bardiyah,31.7561,25.0865,304.5,52,0,8.29,LY,1690037116
320,mundi,22.0667,76.5,299.54,91,100,3.71,IN,1690036849
321,epinal,48.1833,6.45,298.57,30,93,4.8,FR,1690037096
322,carnarvon,-24.8667,113.6333,290.43,33,0,6.36,AU,1690037116
323,portland,45.5234,-122.6762,293.66,78,20,2.06,US,1690037091
324,sechura,-5.5569,-80.8222,297.1,67,10,4.95,PE,1690037118
325,sidi akkacha,36.4647,1.3026,314.31,39,4,3.91,DZ,1690037119
326,ampanihy,-24.7,44.75,295.39,58,92,0.98,MG,1690037120
327,katsuura,35.1333,140.3,295.96,91,16,3.0,JP,1690037120
328,inhambane,-23.865,35.3833,296.14,64,20,2.68,MZ,1690037120
329,azul,-36.777,-59.8585,285.1,91,100,6.38,AR,1690036959
330,lianzhou,24.7811,112.3825,299.69,91,25,1.44,CN,1690037121
331,san antonio de pale,-1.4014,5.6325,296.21,77,50,5.77,GQ,1690037121
332,sabang,5.8933,95.3214,301.9,76,100,9.81,ID,1690037122
333,gorontalo,0.5412,123.0595,297.56,89,75,2.07,ID,1690037027
334,lauro de freitas,-12.8944,-38.3272,301.16,69,40,6.69,BR,1690037122
335,thohoyandou,-22.9456,30.485,292.06,53,31,1.72,ZA,1690037123
336,haiku-pauwela,20.9219,-156.3051,297.62,84,75,5.14,US,1690037124
337,quellon,-43.1167,-73.6167,279.29,75,100,2.06,CL,1690037124
338,praia da vitoria,38.7333,-27.0667,298.29,73,40,2.6,PT,1690037124
339,uacu cungo,-11.3634,15.1208,304.55,16,36,1.97,AO,1690037125
340,myrzakent,40.6667,68.5333,306.5,16,0,3.66,KZ,1690037125
341,puerto baquerizo moreno,-0.9,-89.6,298.7,78,20,5.66,EC,1690037126
342,sinabang,2.4803,96.3801,300.06,79,86,1.01,ID,1690037126
343,manta,-0.95,-80.7333,300.03,83,40,4.92,EC,1690037126
344,nyurba,63.2842,118.3319,292.39,82,86,1.56,RU,1690037127
345,kostanay,53.1667,63.5833,298.31,47,40,3.0,KZ,1690037127
346,pabianice,51.6645,19.3547,296.65,44,0,8.23,PL,1690037128
347,chachapoyas,-6.2317,-77.869,290.35,56,22,1.8,PE,1690037001
348,kuching,1.55,110.3333,301.27,83,40,2.06,MY,1690037128
349,fonte boa,-2.4959,-66.2662,305.05,42,0,1.53,BR,1690037128
350,ola,59.5833,151.2833,287.12,97,100,1.05,RU,1690037128
351,moreira sales,-24.0622,-53.0069,298.43,46,0,8.26,BR,1690037129
352,richards bay,-28.783,32.0377,294.22,55,0,5.04,ZA,1690037129
353,alo,7.4178,6.7371,300.88,81,99,2.4,NG,1690037129
354,neiafu,-18.65,-173.9833,296.85,77,16,4.7,TO,1690037130
355,glace bay,46.1969,-59.957,296.92,97,100,5.66,CA,1690037130
356,jingzhou,30.3503,112.1903,299.67,93,39,2.93,CN,1690037130
357,ta`u,-14.2336,-169.5144,300.29,80,82,3.69,AS,1690037130
358,new norfolk,-42.7826,147.0587,282.99,94,93,1.12,AU,1690037131
359,cockburn town,21.4612,-71.1419,301.49,72,78,5.34,TC,1690037131
360,caleta de carquin,-11.0925,-77.6267,293.82,75,29,3.85,PE,1690037131
361,avranches,48.6833,-1.3667,294.91,59,100,1.79,FR,1690037132
362,baruun-urt,46.6806,113.2792,288.97,71,3,4.75,MN,1690037132
363,manggar,-2.8833,108.2667,300.56,76,98,4.66,ID,1690037132
